x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
2.100283	-11.395406	0.626995	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.823857	-11.750885	-4.289075	1.734143	-13.635634	1.406508	-0.962172	-9.013203	-3.427022	-1.051887	-10.897952	2.268562	3.258645	-10.434991	-3.831027	3.168931	-12.319740	1.864557	0.472616	-7.697309	-2.968974	0.382901	-9.582058	2.726610
0.743140	-10.124265	0.972689	0.000000	0.000000	0.000000	0.915298	0.144663	-0.066639	0.369949	0.000000	0.000000	0.000000	2.931946	-10.101768	-4.011940	2.515035	-12.927128	1.264756	-0.913449	-9.033570	-3.743807	-1.330360	-11.858930	1.532889	3.464790	-8.420169	-3.069443	3.047879	-11.245529	2.207253	-0.380605	-7.351970	-2.801310	-0.797515	-10.177330	2.475387
0.134850	-10.158440	0.853555	-0.026267	-0.016701	-0.011076	0.776679	0.173150	-0.174053	0.580081	-0.050765	-0.145164	0.002238	3.146100	-9.435238	-3.928441	2.829921	-12.433356	1.259171	-0.838912	-9.092178	-3.973056	-1.155091	-12.090296	1.214557	3.283258	-7.711338	-2.923774	2.967080	-10.709456	2.263838	-0.701754	-7.368278	-2.968389	-1.017932	-10.366396	2.219224
0.023076	-10.133607	0.682307	-0.021973	-0.015737	-0.048600	0.710448	0.171910	-0.195310	0.653884	-0.061572	-0.290267	0.112700	3.133096	-9.417858	-4.039352	2.784557	-12.339497	1.189658	-0.859327	-9.375372	-4.281728	-1.207867	-12.297011	0.947282	3.092598	-7.671116	-3.066083	2.744059	-10.592755	2.162927	-0.899826	-7.628630	-3.308459	-1.248365	-10.550269	1.920551
-0.153000	-10.267166	0.430575	-0.074082	-0.095969	-0.161224	0.682253	0.156227	-0.199605	0.685771	-0.243954	-0.397948	0.203824	3.109762	-9.191508	-4.085697	2.993980	-12.118110	1.150866	-0.856750	-9.600052	-4.401724	-0.972532	-12.526654	0.834839	2.854408	-7.457551	-3.122272	2.738626	-10.384153	2.114291	-1.112104	-7.866095	-3.438299	-1.227886	-10.792697	1.798264
-0.143474	-10.392400	0.327274	-0.044379	-0.164715	-0.235528	0.640888	0.159451	-0.195436	0.725013	-0.313793	-0.415485	0.548223	2.697263	-8.900816	-4.270140	3.135067	-11.776793	0.977439	-1.201869	-9.779634	-4.426480	-0.764066	-12.655611	0.821099	2.275489	-7.201436	-3.303593	2.713292	-10.077413	1.943986	-1.623644	-8.080254	-3.459933	-1.185841	-10.956231	1.787646
-0.215065	-10.442377	0.273200	-0.145386	-0.153151	-0.309950	0.600834	0.183181	-0.170724	0.759142	-0.304868	0.238576	1.164740	2.487549	-8.753863	-4.396637	3.208285	-11.593775	0.839338	-1.326517	-9.952704	-4.521861	-0.605781	-12.792616	0.714115	1.934822	-7.097188	-3.421999	2.655558	-9.937099	1.813977	-1.879244	-8.296029	-3.547223	-1.158508	-11.135941	1.688753
-0.246994	-10.540421	0.167405	-0.178894	-0.245782	-0.470077	0.569339	0.194090	-0.161238	0.782422	-0.336867	0.436583	1.575725	2.170263	-8.645147	-4.615803	3.334151	-11.345687	0.614154	-1.534669	-10.152242	-4.569502	-0.370781	-12.852781	0.660456	1.523846	-7.025937	-3.635853	2.687734	-9.726476	1.594105	-2.181086	-8.533032	-3.589551	-1.017198	-11.233571	1.640406
-0.220333	-10.586465	0.076354	-0.154750	-0.279978	-0.660991	0.541220	0.213252	-0.136725	0.801817	-0.444128	0.922117	2.101278	1.771051	-8.511672	-4.752020	3.347289	-10.987036	0.481338	-1.725398	-10.449775	-4.615640	-0.149160	-12.925139	0.617718	0.953951	-6.968910	-3.776196	2.530189	-9.444274	1.457163	-2.542498	-8.907014	-3.639816	-0.966260	-11.382378	1.593543
-0.281932	-10.664701	0.007152	-0.278657	-0.381572	-0.805929	0.494760	0.225693	-0.113796	0.831460	-0.680963	1.176140	2.871380	1.467367	-8.587351	-4.965971	3.396308	-10.671226	0.319543	-1.828368	-10.831691	-4.648053	0.100573	-12.915565	0.637460	0.534035	-7.084610	-4.032879	2.462976	-9.168485	1.252634	-2.761700	-9.328949	-3.714962	-0.832759	-11.412824	1.570552
