x	y	z	xd	yd	zd	q0	q1	q2	q3	wx	wy	wz	m0x	m0y	m0z	m1x	m1y	m1z	m2x	m2y	m2z	m3x	m3y	m3z	m4x	m4y	m4z	m5x	m5y	m5z	m6x	m6y	m6z	m7x	m7y	m7z
1.654466	-9.765828	1.100512	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035861	-8.594458	-3.633499	0.773667	-12.792419	0.589388	-1.625206	-6.163071	-0.926248	-0.887401	-10.361031	3.296639	1.838562	-7.843465	-3.201898	2.576367	-12.041425	1.020988	0.177494	-5.412077	-0.494647	0.915300	-9.610037	3.728239
0.695440	-9.356143	1.887805	0.000000	0.000000	0.000000	0.896244	0.383956	-0.025895	0.220577	0.000000	0.000000	0.000000	0.234135	-6.507330	-2.268607	1.342564	-12.301088	-1.171448	-2.041419	-6.320719	1.015754	-0.932990	-12.114477	2.112914	1.836930	-5.995903	-1.187177	2.945359	-11.789660	-0.090018	-0.438624	-5.809292	2.097185	0.669805	-11.603049	3.194344
0.560907	-10.329852	1.828411	0.001957	-0.073212	-0.019527	0.712435	0.626776	-0.125692	0.289466	0.045310	-0.149074	-0.078114	0.644166	-6.210402	-1.893487	1.207539	-12.178322	-1.635519	-1.865656	-6.312771	1.219440	-1.302282	-12.280691	1.477408	2.190107	-6.010303	-0.640480	2.753480	-11.978222	-0.382512	-0.319715	-6.112672	2.472447	0.243659	-12.080591	2.730415
0.343679	-10.614181	1.573452	-0.010668	-0.113668	-0.098716	0.668102	0.662621	-0.201882	0.271692	0.304472	-0.392030	-0.345196	0.944771	-6.089104	-1.674123	1.243790	-12.075593	-1.943456	-1.655603	-6.355209	1.353623	-1.356585	-12.341698	1.084290	2.461207	-6.072022	-0.370233	2.760226	-12.058511	-0.639566	-0.139167	-6.338127	2.657513	0.159852	-12.324615	2.388180
0.356320	-10.767209	1.370627	0.023817	-0.147153	-0.197685	0.639562	0.684207	-0.239402	0.255947	0.635731	-0.595352	-0.608372	1.317780	-6.118997	-1.561854	1.364982	-12.092348	-2.124746	-1.480180	-6.409090	1.281957	-1.432978	-12.382441	0.719066	2.746978	-6.239057	-0.167946	2.794180	-12.212408	-0.730838	-0.050982	-6.529150	2.675865	-0.003780	-12.502501	2.112974
0.327398	-10.908943	1.190892	0.078842	-0.231798	-0.337467	0.619119	0.685576	-0.284545	0.256342	0.833621	-1.044591	-0.969230	1.660546	-6.056580	-1.242250	1.524565	-11.987775	-2.138037	-1.366871	-6.379000	1.352127	-1.502852	-12.310196	0.456341	2.966927	-6.311972	0.250446	2.830946	-12.243167	-0.645340	-0.060489	-6.634392	2.844823	-0.196470	-12.565588	1.949037
0.268975	-10.940649	1.147543	0.119132	-0.231325	-0.367185	0.591323	0.685660	-0.333116	0.263139	1.281949	-1.581623	-1.283658	1.923348	-6.029344	-0.918093	1.593210	-11.879971	-2.206958	-1.273229	-6.373236	1.461746	-1.603367	-12.223863	0.172881	3.120579	-6.438147	0.630945	2.790442	-12.288774	-0.657920	-0.075998	-6.782038	3.010784	-0.406135	-12.632665	1.721919
0.176981	-10.984324	1.057209	0.074515	-0.248885	-0.470686	0.561919	0.688695	-0.377395	0.259846	1.823043	-1.950930	-1.556043	2.336585	-6.188518	-0.682549	1.722421	-11.952842	-2.230248	-1.066627	-6.387742	1.409928	-1.680791	-12.152066	-0.137771	3.367422	-6.734540	0.942023	2.753258	-12.498864	-0.605676	-0.035790	-6.933764	3.034499	-0.649954	-12.698088	1.486801
0.097390	-11.074727	0.937695	0.070963	-0.403167	-0.676832	0.540425	0.672517	-0.432742	0.261527	1.962106	-2.555282	-2.069161	2.700389	-6.344088	-0.370463	1.877264	-11.998108	-2.202000	-0.910101	-6.376098	1.350971	-1.733226	-12.030118	-0.480566	3.516360	-7.013230	1.328489	2.693235	-12.667250	-0.503047	-0.094130	-7.045240	3.049924	-0.917255	-12.699260	1.218387
-0.013010	-11.115226	0.811876	-0.016595	-0.475887	-0.929827	0.511823	0.651110	-0.490854	0.270474	2.170037	-3.270180	-2.394687	3.094441	-6.571202	-0.047650	2.007748	-12.081220	-2.159239	-0.654806	-6.359798	1.330194	-1.741499	-11.869816	-0.781395	3.689903	-7.355716	1.693029	2.603210	-12.865733	-0.418560	-0.059344	-7.144312	3.070873	-1.146037	-12.654329	0.959284
-0.086504	-11.138798	0.695575	-0.058638	-0.525062	-1.197532	0.486240	0.624393	-0.547775	0.271380	2.333449	-3.879867	-2.799637	3.223624	-6.715257	0.374378	2.173502	-12.117019	-2.016900	-0.649476	-6.379009	1.315672	-1.699598	-11.780772	-1.075605	3.580340	-7.569435	2.147266	2.530217	-12.971197	-0.244011	-0.292760	-7.233187	3.088561	-1.342882	-12.634949	0.697283
-0.204262	-11.160679	0.602442	-0.300617	-0.565317	-1.411488	0.448006	0.601999	-0.593163	0.291626	2.473419	-4.630876	-2.553240	3.245585	-6.794435	0.720464	2.337201	-12.139453	-1.849677	-0.697846	-6.376118	1.244263	-1.606229	-11.721136	-1.325878	3.389300	-7.678684	2.508606	2.480916	-13.023702	-0.061536	-0.554131	-7.260367	3.032405	-1.462514	-12.605385	0.462263
-0.290681	-11.157871	0.510202	-0.519124	-0.522376	-1.661121	0.413174	0.580519	-0.625844	0.317181	2.386768	-5.257162	-2.148230	3.270524	-6.909391	1.132307	2.500333	-12.152127	-1.682034	-0.692804	-6.377045	1.225250	-1.462996	-11.619782	-1.589091	3.186280	-7.844869	2.898032	2.416089	-13.087606	0.083690	-0.777048	-7.312524	2.990975	-1.547239	-12.555260	0.176633
-0.349299	-11.148334	0.395646	-0.650050	-0.454094	-1.990581	0.372005	0.557021	-0.662088	0.336124	2.362783	-5.904903	-1.889609	3.188704	-7.063746	1.600543	2.580173	-12.161785	-1.504241	-0.750027	-6.424193	1.322383	-1.358558	-11.522232	-1.782401	2.905059	-8.068716	3.306292	2.296527	-13.166755	0.201508	-1.033672	-7.429163	3.028133	-1.642203	-12.527202	-0.076651
-0.443944	-11.166447	0.321025	-0.946744	-0.510953	-2.162212	0.328615	0.538574	-0.694335	0.346194	2.380096	-6.394472	-1.661268	3.122753	-7.198243	1.908655	2.630512	-12.176345	-1.404378	-0.772672	-6.460249	1.378531	-1.264912	-11.438352	-1.934503	2.699086	-8.251970	3.554913	2.206845	-13.230072	0.241879	-1.196339	-7.513976	3.024789	-1.688580	-12.492079	-0.288245
-0.496780	-11.173784	0.236858	-1.103341	-0.516445	-2.412213	0.297988	0.524196	-0.716604	0.350571	2.267504	-6.553803	-1.538917	2.932819	-7.275516	2.195906	2.728306	-12.229375	-1.183067	-0.860677	-6.457509	1.226240	-1.065190	-11.411368	-2.152732	2.302185	-8.327167	3.775884	2.097672	-13.281026	0.396911	-1.491312	-7.509160	2.806218	-1.695824	-12.463019	-0.572754
-0.551332	-11.170686	0.090136	-1.266903	-0.454257	-2.927441	0.257646	0.495361	-0.738409	0.378138	1.843281	-7.060644	-1.304652	2.712572	-7.375438	2.468847	2.777853	-12.297552	-0.961683	-0.928728	-6.461573	1.088345	-0.863447	-11.383687	-2.342185	1.885069	-8.423914	3.957450	1.950350	-13.346028	0.526920	-1.756230	-7.510049	2.576947	-1.690950	-12.432163	-0.853583
-0.604279	-11.172226	-0.057312	-1.420980	-0.424402	-3.433725	0.217309	0.464627	-0.758803	0.401392	1.430753	-7.477595	-1.201750	2.447917	-7.513943	2.776523	2.762273	-12.364072	-0.741633	-0.978975	-6.452700	1.007292	-0.664619	-11.302830	-2.510864	1.421699	-8.564985	4.133795	1.736055	-13.415115	0.615639	-2.005193	-7.503742	2.364564	-1.690837	-12.353872	-1.153592
-0.672392	-11.146818	-0.210449	-1.624367	-0.292842	-3.938606	0.173053	0.429764	-0.781766	0.417370	1.079963	-7.881371	-1.245598	2.037726	-7.603456	3.029734	2.702630	-12.386200	-0.531622	-1.153667	-6.464442	0.904256	-0.488763	-11.247186	-2.657100	0.852555	-8.668367	4.238591	1.517459	-13.451111	0.677234	-2.338838	-7.529353	2.113113	-1.673934	-12.312097	-1.448244
-0.765698	-11.137303	-0.373521	-1.967900	-0.236627	-4.477224	0.125290	0.401578	-0.796408	0.434479	0.729681	-8.222502	-1.270415	1.702940	-7.714936	3.274230	2.601098	-12.503322	-0.227865	-1.152961	-6.430418	0.785486	-0.254803	-11.218805	-2.716609	0.334976	-8.734679	4.317684	1.233134	-13.523066	0.815590	-2.520925	-7.450161	1.828940	-1.622767	-12.238548	-1.673154
-0.811983	-11.108674	-0.483786	-2.064298	-0.102967	-4.747820	0.083314	0.355966	-0.812516	0.454053	0.262260	-8.550207	-1.494691	1.305905	-7.818978	3.447444	2.438772	-12.567542	-0.040787	-1.265072	-6.426980	0.717532	-0.132205	-11.175544	-2.770699	-0.178992	-8.824043	4.333403	0.953874	-13.572607	0.845172	-2.749969	-7.432045	1.603491	-1.617103	-12.180609	-1.884740
-0.910386	-11.090505	-0.602291	-2.403494	-0.030351	-5.059638	0.045475	0.324321	-0.823159	0.463850	-0.027413	-8.650798	-1.709736	0.962519	-7.848566	3.530802	2.270443	-12.655560	0.186831	-1.276573	-6.387957	0.555388	0.031352	-11.194951	-2.788583	-0.636401	-8.796823	4.268547	0.671524	-13.603816	0.924575	-2.875492	-7.336214	1.293132	-1.567567	-12.143208	-2.050839
-0.960118	-11.068748	-0.708529	-2.507198	0.079950	-5.309975	0.014193	0.285334	-0.828535	0.481573	-0.402605	-8.692112	-1.976241	0.670078	-7.885104	3.566855	2.060741	-12.745549	0.335427	-1.266626	-6.348590	0.422288	0.124037	-11.209035	-2.809141	-1.017349	-8.771050	4.173228	0.373313	-13.631495	0.941799	-2.954053	-7.234536	1.028660	-1.563391	-12.094981	-2.202768
-1.031921	-11.040364	-0.815956	-2.689749	0.214828	-5.559374	-0.008876	0.249380	-0.833486	0.492983	-0.666461	-8.576464	-2.242181	0.308313	-7.963682	3.598266	1.810533	-12.844672	0.448778	-1.283679	-6.332613	0.311144	0.218541	-11.213603	-2.838344	-1.456807	-8.793010	4.041622	0.045413	-13.674000	0.892134	-3.048799	-7.161942	0.754500	-1.546580	-12.042931	-2.394988
-1.111886	-11.020286	-0.955934	-2.902941	0.283300	-5.925912	-0.038014	0.211414	-0.838913	0.500085	-0.858997	-8.513458	-2.562986	-0.027454	-7.957216	3.586637	1.552722	-12.926203	0.618100	-1.274028	-6.307913	0.162334	0.306148	-11.276900	-2.806203	-1.853398	-8.716508	3.885639	-0.273222	-13.685495	0.917102	-3.099973	-7.067205	0.461336	-1.519797	-12.036192	-2.507201
-1.177284	-11.013354	-1.044312	-3.057327	0.309460	-6.057049	-0.062049	0.173670	-0.837763	0.513948	-1.053831	-8.410027	-2.856534	-0.397414	-7.947495	3.511128	1.281644	-13.006234	0.756147	-1.281243	-6.312013	-0.030629	0.397816	-11.370752	-2.785610	-2.265960	-8.645974	3.654877	-0.586901	-13.704713	0.899896	-3.149789	-7.010493	0.113120	-1.470730	-12.069232	-2.641861
-1.234169	-11.036852	-1.166945	-3.176770	0.194526	-6.333100	-0.088894	0.136704	-0.833203	0.528377	-1.178681	-8.323343	-3.171927	-0.697090	-7.956637	3.454400	1.007395	-13.083883	0.845554	-1.261618	-6.311505	-0.147661	0.442866	-11.438751	-2.756508	-2.593803	-8.591006	3.461931	-0.889318	-13.718252	0.853085	-3.158331	-6.945874	-0.140130	-1.453846	-12.073120	-2.748977
-1.297654	-11.042362	-1.262867	-3.299663	0.163755	-6.473440	-0.109196	0.102661	-0.830625	0.536282	-1.218363	-8.151384	-3.430490	-1.006930	-7.930032	3.359394	0.714648	-13.157484	0.969852	-1.173132	-6.313920	-0.295816	0.548447	-11.541373	-2.685358	-2.921031	-8.487521	3.199939	-1.199452	-13.714974	0.810398	-3.087232	-6.871410	-0.455271	-1.365654	-12.098862	-2.844812
-1.308019	-11.055653	-1.359771	-3.204617	0.100163	-6.601024	-0.134203	0.060588	-0.823581	0.547753	-1.227916	-8.053073	-3.776676	-1.251779	-7.816577	3.213176	0.394604	-13.167739	1.055751	-1.051529	-6.269916	-0.470265	0.594854	-11.621078	-2.627690	-3.172404	-8.285938	2.911679	-1.526021	-13.637100	0.754254	-2.972154	-6.739276	-0.771763	-1.325771	-12.090439	-2.929187
-1.339187	-11.019266	-1.461095	-3.191373	0.270749	-6.749834	-0.151260	0.019219	-0.814143	0.560288	-1.202254	-7.897753	-4.064671	-1.517581	-7.755516	3.082310	0.094584	-13.192577	1.122897	-0.992631	-6.274253	-0.596043	0.619533	-11.711313	-2.555456	-3.426067	-8.163976	2.645459	-1.813903	-13.601037	0.686046	-2.901118	-6.682713	-1.032895	-1.288953	-12.119773	-2.992308
-1.378283	-11.026369	-1.541763	-3.217288	0.234015	-6.810911	-0.170050	-0.015158	-0.804505	0.568881	-1.086282	-7.749829	-4.285874	-1.793279	-7.701481	2.941073	-0.310247	-13.235091	1.157879	-0.865734	-6.285066	-0.682934	0.617299	-11.818675	-2.466128	-3.674911	-8.011525	2.338301	-2.191879	-13.545134	0.555107	-2.747365	-6.595110	-1.285706	-1.264333	-12.128719	-3.068900
-1.429579	-11.019410	-1.635420	-3.300938	0.249978	-6.901271	-0.189203	-0.062461	-0.793946	0.574413	-0.932069	-7.643558	-4.585339	-2.013368	-7.678423	2.844590	-0.660777	-13.280564	1.175305	-0.775110	-6.320772	-0.708366	0.577481	-11.922913	-2.377651	-3.860907	-7.906647	2.113487	-2.508316	-13.508789	0.444202	-2.622649	-6.548996	-1.439470	-1.270058	-12.151137	-3.108755
-1.489947	-11.030979	-1.688719	-3.406117	0.197937	-6.830061	-0.202770	-0.100168	-0.785153	0.576529	-0.750840	-7.487716	-4.741793	-2.171554	-7.595076	2.692755	-1.017523	-13.282820	1.170330	-0.619461	-6.351238	-0.777673	0.534571	-12.038982	-2.300098	-3.974267	-7.731912	1.837477	-2.820236	-13.419656	0.315052	-2.422174	-6.488074	-1.632951	-1.268143	-12.175819	-3.155376
-1.528160	-11.028467	-1.761812	-3.416430	0.216540	-6.846847	-0.213215	-0.140981	-0.772424	0.581399	-0.538087	-7.356694	-4.881169	-2.313148	-7.551345	2.593186	-1.301392	-13.286912	1.151099	-0.510127	-6.384806	-0.781469	0.501630	-12.120373	-2.223556	-4.066299	-7.619196	1.633053	-3.054543	-13.354764	0.190966	-2.263278	-6.452657	-1.741603	-1.251522	-12.188224	-3.183690
